"node_id","component","n_areas","mean_prescribing","mean_retail","mean_imd","mean_months_zero","mean_trend_slope"
0,1,22,17.612,0.29,22.683,0.136,0.0167
1,1,12,16.272,0.317,31.275,0,0.0359
2,1,11,2.03,0.285,31.227,12.182,-0.1162
3,2,2,0.419,0.188,38.958,30,-0.0945
4,1,39,3.033,0.252,22.341,4.077,-0.0486
5,1,43,2.329,0.286,19.061,5.674,-0.048
6,1,2,19.947,0.402,33.333,0,0.0754
7,1,6,3.117,0.397,14.744,3.833,0.0123
8,1,14,19.482,0.24,30.702,0.071,0.0533
9,1,7,22.806,0.251,18.704,0,0.0498
10,1,18,2.154,0.234,18.013,3.889,-0.032
11,1,13,12.437,0.323,15.584,0,-0.0059
